CustomerID,AccountBalance,CurrentInterestRate,DateAccOpened,
345879912,68541.0,1.9,06/18/2017,
423168945,651.0,1.9,07/31/2017,
530360844,65165.0,1.9,08/01/2018,
771071482,1556.0,1.9,04/12/2017,
311925515,1589.0,1.9,06/04/2018,
851593249,20558.0,1.9,07/14/2018,
842297994,561.0,1.9,07/16/2017,
859073870,65165.0,1.9,12/01/2017,
137068199,456465.0,1.9,07/18/2017,
591695408,13233.0,1.9,06/11/2018,
228693235,33115.0,1.9,06/24/2017,
535565040,9741.0,1.9,09/26/2017,
377969391,9014.0,1.9,04/28/2018,
423453245,1.0E9,1.9,05/29/2017,
859437289,10005.0,1.9,08/09/2018,
345679898,9950.0,1.9,07/27/2017,
