CustomerID,CheckingBalance,hasBackup,hasATM,Overdrafts,DateOpened,
345879912,148.34,false,true,1,04/15/2017,
423168945,9.54,true,true,2,05/06/2007,
285482889,760.45,true,false,1,06/05/2005,
530360844,5874.01,false,true,0,08/14/2015,
771071482,3907.34,true,true,1,09/27/2016,
311925515,3861.97,true,true,1,10/25/2018,
851593249,34.25,false,false,0,11/17/2017,
842297994,72.63,true,true,0,12/30/2009,
859073870,6200.75,false,true,0,01/06/1998,
423453245,1001.87,true,true,1,03/04/2013,
591695408,3476.01,true,true,0,05/31/2000,
137068199,897.99,false,false,3,07/01/2001,
228693235,909.09,false,true,2,11/09/1999,
859437289,1567.32,true,true,1,02/12/2016,
345679898,0.01,false,true,0,04/04/2018,
